State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016 ,Final?
Florida,4,R+17,John Rutherford,R,"123,283","248,371","9,468",32.3%,65.2%,2.5%,-32.8%,-28.0%,-4.8%,"421,712",90.4%,
Florida,5,D+12,Al Lawson,D,"180,464","89,783",0,66.8%,33.2%,0.0%,33.6%,25.4%,8.2%,"311,972",86.6%,
Florida,6,R+7,Michael Waltz,R,"145,709","187,860",0,43.7%,56.3%,0.0%,-12.6%,-17.0%,4.4%,"379,798",87.8%,
Florida,7,EVEN,Stephanie Murphy,D,"183,045","134,265",0,57.7%,42.3%,0.0%,15.4%,7.3%,8.1%,"363,186",87.4%,
Florida,8,R+11,Bill Posey,R,"142,356","218,094",0,39.5%,60.5%,0.0%,-21.0%,-20.7%,-0.3%,"401,911",89.7%,
Florida,9,D+5,Darren Soto,D,"172,135","124,548",0,58.0%,42.0%,0.0%,16.0%,12.9%,3.1%,"356,530",83.2%,
Florida,10,D+11,Val Demings,D,0,0,0,100.0%,0.0%,0.0%,100.0%,26.9%,N/A,"315,611",0.0%,
Florida,11,R+15,Dan Webster,R,"128,005","239,358",58,34.8%,65.1%,0.0%,-30.3%,-32.3%,2.0%,"411,005",89.4%,
Florida,12,R+8,Gus Bilirakis,R,"132,810","194,551","7,506",39.7%,58.1%,2.2%,-18.4%,-18.6%,0.2%,"380,363",88.0%,
Florida,13,D+2,Charlie Crist,D,"182,643","134,238",0,57.6%,42.4%,0.0%,15.3%,3.2%,12.1%,"360,760",87.8%,
Florida,14,D+7,Kathy Castor,D,0,0,0,100.0%,0.0%,0.0%,100.0%,18.2%,N/A,"330,427",0.0%,
Florida,15,R+6,Ross Spano,R,"134,076","151,356",20,47.0%,53.0%,0.0%,-6.1%,-10.0%,3.9%,"334,514",85.3%,
Florida,16,R+7,Vern Buchanan,R,"164,357","197,433",0,45.4%,54.6%,0.0%,-9.1%,-10.8%,1.7%,"396,807",91.2%,
Florida,17,R+13,Greg Steube,R,"117,167","193,308",0,37.7%,62.3%,0.0%,-24.5%,-27.2%,2.7%,"353,861",87.7%,
Florida,18,R+5,Brian Mast,R,"156,371","185,878",0,45.7%,54.3%,0.0%,-8.6%,-9.2%,0.6%,"382,476",89.5%,
Florida,19,R+13,Francis Rooney,R,"128,066","211,450",36,37.7%,62.3%,0.0%,-24.6%,-22.1%,-2.5%,"381,184",89.1%,
Florida,20,D+31,Alcee Hastings,D,"202,505",0,165,100.0%,0.0%,0.0%,100.0%,62.1%,N/A,"288,812",70.2%,
Florida,21,D+9,Lois Frankel,D,0,0,0,100.0%,0.0%,0.0%,100.0%,19.5%,N/A,"351,663",0.0%,
Florida,22,D+6,Ted Deutch,D,"184,428","112,989",0,62.0%,38.0%,0.0%,24.0%,15.7%,8.3%,"356,478",83.4%,
Florida,23,D+11,Debbie Wasserman Schultz,D,"161,449","99,362","15,288",58.5%,36.0%,5.5%,22.5%,26.1%,-3.6%,"335,744",82.2%,
Florida,24,D+34,Frederica Wilson,D,0,0,0,100.0%,0.0%,0.0%,100.0%,67.2%,N/A,"266,851",0.0%,
Florida,25,R+4,Mario Diaz-Balart,R,"84,083","128,650",0,39.5%,60.5%,0.0%,-20.9%,-1.9%,-19.0%,"263,235",80.8%,
Florida,26,D+6,Debbie Mucarsel-Powell,D,"119,761","115,663",0,50.9%,49.1%,0.0%,1.7%,16.3%,-14.6%,"289,209",81.4%,
Florida,27,D+5,Donna Shalala,D,"130,671","115,575","6,255",51.8%,45.8%,2.5%,6.0%,19.7%,-13.7%,"299,037",84.4%,
Georgia,1,R+9,Buddy Carter,R,"105,930","144,738",0,42.3%,57.7%,0.0%,-15.5%,-15.5%,0.0%,"269,568",93.0%,
Georgia,2,D+6,Sanford Bishop,D,"136,664","92,470",0,59.6%,40.4%,0.0%,19.3%,11.7%,7.6%,"248,104",92.4%,
Georgia,3,R+18,Drew Ferguson,R,"101,010","191,994",0,34.5%,65.5%,0.0%,-31.1%,-31.6%,0.5%,"311,864",94.0%,
Georgia,4,D+24,Hank Johnson,D,"227,706","61,092",0,78.8%,21.2%,0.0%,57.7%,53.1%,4.6%,"298,663",96.7%,
Georgia,5,D+34,John Lewis,D,"275,394",0,0,100.0%,0.0%,0.0%,100.0%,73.1%,N/A,"305,755",90.1%,
Georgia,6,R+8,Lucy McBath,D,"160,134","156,874",0,50.5%,49.5%,0.0%,1.0%,-1.5%,2.5%,"331,262",95.7%,
Georgia,7,R+9,,,"140,011","140,430",0,49.9%,50.1%,0.0%,-0.1%,-6.4%,6.3%,"294,972",95.1%,
Georgia,8,R+15,Austin Scott,R,0,"198,152",0,0.0%,100.0%,0.0%,-100.0%,-28.9%,N/A,"265,514",74.6%,
Georgia,9,R+31,Doug Collins,R,"57,912","224,661",0,20.5%,79.5%,0.0%,-59.0%,-58.5%,-0.5%,"297,215",95.1%,
Georgia,10,R+15,Jody Hice,R,"112,325","190,389",0,37.1%,62.9%,0.0%,-25.8%,-25.5%,-0.3%,"315,073",96.1%,
Georgia,11,R+17,Barry Loudermilk,R,"118,650","191,885",0,38.2%,61.8%,0.0%,-23.6%,-25.1%,1.5%,"329,312",94.3%,
Georgia,12,R+9,Rick Allen,R,"101,499","148,985",0,40.5%,59.5%,0.0%,-19.0%,-16.2%,-2.8%,"267,675",93.6%,
Georgia,13,D+20,David Scott,D,"223,152","69,759",0,76.2%,23.8%,0.0%,52.4%,44.5%,7.9%,"301,531",97.1%,
Georgia,14,R+27,Tom Graves,R,"53,981","175,743",0,23.5%,76.5%,0.0%,-53.0%,-52.9%,-0.1%,"255,872",89.8%,
Hawaii,1,D+17,Ed Case,D,"134,603","42,480","7,057",73.1%,23.1%,3.8%,50.0%,32.5%,17.5%,"209,300",88.0%,
Hawaii,2,D+19,Tulsi Gabbard,D,"153,132","44,816",0,77.4%,22.6%,0.0%,54.7%,31.8%,22.9%,"219,637",90.1%,
Idaho,1,R+21,Russ Fulcher,R,"96,909","197,151","20,359",30.8%,62.7%,6.5%,-31.9%,-38.3%,6.4%,"359,661",87.4%,
Idaho,2,R+17,Mike Simpson,R,"110,386","170,280",0,39.3%,60.7%,0.0%,-21.3%,-24.7%,3.4%,"330,594",84.9%,
Illinois,1,D+27,Bobby Rush,D,"186,403","50,521","17,050",73.4%,19.9%,6.7%,53.5%,53.2%,0.3%,"329,221",77.1%,
Illinois,2,D+29,Robin Kelly,D,"188,342","44,303",0,81.0%,19.0%,0.0%,61.9%,58.6%,3.3%,"305,228",76.2%,
Illinois,3,D+6,Dan Lipinski,D,"160,501","57,298",605,73.5%,26.2%,0.3%,47.3%,15.4%,31.9%,"286,582",76.2%,
Illinois,4,D+33,Chuy Garcia,D,"142,997","22,187",0,86.6%,13.4%,0.0%,73.1%,68.3%,4.8%,"211,143",78.2%,
Illinois,5,D+20,Mike Quigley,D,"208,455","64,179",0,76.5%,23.5%,0.0%,52.9%,46.0%,6.9%,"331,056",82.4%,
Illinois,6,R+2,Sean Casten,D,"163,057","144,156",0,53.1%,46.9%,0.0%,6.2%,6.8%,-0.6%,"355,920",86.3%,
Illinois,7,D+38,Danny Davis,D,"213,687","30,270",0,87.6%,12.4%,0.0%,75.2%,77.3%,-2.1%,"313,933",77.7%,
Illinois,8,D+8,Raja Krishnamoorthi,D,"127,126","66,215",0,65.8%,34.2%,0.0%,31.5%,21.6%,9.9%,"257,872",75.0%,
Illinois,9,D+18,Jan Schakowsky,D,"211,458","76,611",0,73.4%,26.6%,0.0%,46.8%,44.5%,2.3%,"344,539",83.6%,
Illinois,10,D+10,Brad Schneider,D,"152,837","80,737",0,65.4%,34.6%,0.0%,30.9%,28.9%,2.0%,"293,238",79.7%,
Illinois,11,D+9,Bill Foster,D,"140,907","80,775",0,63.6%,36.4%,0.0%,27.1%,23.3%,3.8%,"282,906",78.4%,
Illinois,12,R+5,Mike Bost,R,"116,985","134,009","7,823",45.2%,51.8%,3.0%,-6.6%,-14.8%,8.2%,"316,371",81.8%,
Illinois,13,R+3,Rodney Davis,R,"131,958","135,680",0,49.3%,50.7%,0.0%,-1.4%,-5.3%,3.9%,"324,539",82.5%,
Illinois,14,R+5,Lauren Underwood,D,"153,777","140,201",0,52.3%,47.7%,0.0%,4.6%,-4.0%,8.6%,"338,514",86.8%,
Illinois,15,R+21,John Shimkus,R,"69,234","177,682",0,28.0%,72.0%,0.0%,-43.9%,-46.2%,2.3%,"320,524",77.0%,
Illinois,16,R+8,Adam Kinzinger,R,"100,789","149,205",0,40.3%,59.7%,0.0%,-19.4%,-17.1%,-2.3%,"318,212",78.6%,
Illinois,17,D+3,Cheri Bustos,D,"139,461","86,218",0,61.8%,38.2%,0.0%,23.6%,-0.7%,24.3%,"283,713",79.5%,
Illinois,18,R+15,Darin LaHood,R,"93,330","193,543",0,32.5%,67.5%,0.0%,-34.9%,-27.3%,-7.6%,"345,450",83.0%,
Indiana,1,D+8,Peter Visclosky,D,"159,388","85,493",0,65.1%,34.9%,0.0%,30.2%,12.5%,17.7%,"301,431",81.2%,
Indiana,2,R+11,Jackie Walorski,R,"103,216","125,230",2,45.2%,54.8%,0.0%,-9.6%,-23.0%,13.4%,"277,734",82.3%,
Indiana,3,R+18,Jim Banks,R,"87,801","158,655",0,35.6%,64.4%,0.0%,-28.7%,-34.8%,6.1%,"292,911",84.1%,
Indiana,4,R+17,Jim Baird,R,"83,200","156,501",0,34.7%,65.3%,0.0%,-30.6%,-33.9%,3.3%,"304,049",78.8%,
Indiana,5,R+9,Susan Brooks,R,"137,096","180,015",0,43.2%,56.8%,0.0%,-13.5%,-11.7%,-1.8%,"366,635",86.5%,
Indiana,6,R+18,Greg Pence,R,"79,417","154,227","8,029",32.9%,63.8%,3.3%,-31.0%,-40.2%,9.2%,"302,405",88.4%,
Indiana,7,D+11,Andre Carson,D,"140,623","76,112",233,64.8%,35.1%,0.1%,29.7%,22.5%,7.2%,"268,048",80.9%,
Indiana,8,R+15,Larry Bucshon,R,"86,816","157,321",0,35.6%,64.4%,0.0%,-28.9%,-33.6%,4.7%,"301,334",81.0%,
Indiana,9,R+13,Trey Hollingsworth,R,"118,035","153,198",0,43.5%,56.5%,0.0%,-13.0%,-26.8%,13.8%,"326,098",83.2%,
Iowa,1,D+1,Abby Finkenauer,D,"169,496","153,077","10,410",50.9%,46.0%,3.1%,4.9%,-3.5%,8.4%,"395,633",84.2%,
Iowa,2,D+1,Dave Loebsack,D,"171,120","133,051","8,186",54.8%,42.6%,2.6%,12.2%,-4.1%,16.3%,"384,495",81.2%,
Iowa,3,R+1,Cindy Axne,D,"169,888","164,667","11,976",49.0%,47.5%,3.5%,1.5%,-3.5%,5.0%,"402,164",86.2%,
Iowa,4,R+11,Steve King,R,"146,698","157,221","8,251",47.0%,50.4%,2.6%,-3.4%,-27.1%,23.7%,"383,739",81.3%,
Kansas,1,R+24,Roger Marshall,R,"69,076","149,708",0,31.6%,68.4%,0.0%,-36.9%,-44.8%,7.9%,"265,883",82.3%,
Kansas,2,R+10,Steve Watkins,R,"120,421","124,895","14,402",46.4%,48.1%,5.5%,-1.7%,-18.3%,16.6%,"296,810",87.5%,
Kansas,3,R+4,Sharice Davids,D,"164,253","136,104","7,643",53.3%,44.2%,2.5%,9.1%,1.2%,7.9%,"344,468",89.4%,
Kansas,4,R+15,Ron Estes,R,"93,384","138,856",0,40.2%,59.8%,0.0%,-19.6%,-27.0%,7.4%,"276,300",84.1%,
Kentucky,1,R+23,James Comer,R,"78,849","172,166",0,31.4%,68.6%,0.0%,-37.2%,-48.5%,11.3%,"310,384",80.9%,
Kentucky,2,R+19,Brett Guthrie,R,"79,994","171,700","5,681",31.1%,66.7%,2.2%,-35.6%,-39.9%,4.3%,"324,647",79.3%,
Kentucky,3,D+6,John Yarmuth,D,"172,999","101,929","3,788",62.1%,36.6%,1.4%,25.5%,14.9%,10.6%,"340,045",82.0%,
Kentucky,4,R+18,Thomas Massie,R,"90,533","162,943","8,318",34.6%,62.2%,3.2%,-27.7%,-35.9%,8.2%,"337,433",77.6%,
Kentucky,5,R+31,Hal Rogers,R,"45,965","172,359",0,21.1%,78.9%,0.0%,-57.9%,-62.1%,4.2%,"278,451",78.4%,
Kentucky,6,R+9,Andy Barr,R,"144,730","154,468","3,684",47.8%,51.0%,1.2%,-3.2%,-15.3%,12.1%,"333,174",90.9%,
Louisiana,1,R+24,Steve Scalise,R,"71,499","192,526","5,248",26.6%,71.5%,1.9%,-44.9%,-42.2%,-2.7%,"354,783",75.9%,
Louisiana,2,D+25,Cedric Richmond,D,"190,066",0,"45,788",80.6%,0.0%,19.4%,80.6%,52.7%,N/A,"329,648",71.5%,
Louisiana,3,R+20,Clay Higgins,R,"74,710","168,258","2,967",30.4%,68.4%,1.2%,-38.0%,-38.1%,0.1%,"343,017",71.7%,
Louisiana,4,R+13,Mike Johnson,R,"72,923","139,307","4,612",33.6%,64.2%,2.1%,-30.6%,-24.0%,-6.6%,"318,392",68.1%,
Louisiana,5,R+15,Ralph Abraham,R,"67,113","149,010","7,810",30.0%,66.5%,3.5%,-36.6%,-29.4%,-7.2%,"323,222",69.3%,
Louisiana,6,R+19,Garret Graves,R,"76,697","186,502","5,254",28.6%,69.5%,2.0%,-40.9%,-34.1%,-6.8%,"353,229",76.0%,
Maine,1,D+8,Chellie Pingree,D,"198,853","109,714","29,569",58.8%,32.4%,8.7%,26.4%,14.8%,11.6%,"394,329",85.7%,
Maine,2,R+2,Jared Golden,D,"139,231","136,326",0,50.5%,49.5%,0.0%,1.1%,-10.3%,11.4%,"353,416",78.0%,
Maryland,1,R+14,Andy Harris,R,"114,475","182,140","5,775",37.9%,60.2%,1.9%,-22.4%,-25.1%,2.7%,"367,987",82.2%,
Maryland,2,D+11,Dutch Ruppersberger,D,"163,412","76,870","8,096",65.8%,30.9%,3.3%,34.8%,21.0%,13.8%,"313,406",79.3%,
Maryland,3,D+13,John Sarbanes,D,"197,390","81,628","7,509",68.9%,28.5%,2.6%,40.4%,30.9%,9.5%,"345,565",82.9%,
Maryland,4,D+28,Anthony Brown,D,"201,864","52,674","5,444",77.6%,20.3%,2.1%,57.4%,57.1%,0.3%,"325,668",79.8%,
Maryland,5,D+16,Steny Hoyer,D,"208,092","81,308","7,784",70.0%,27.4%,2.6%,42.7%,33.8%,8.9%,"365,068",81.4%,
